rank,id,name,blurb,types
2017,213424,Stephen K Bannon,"Executive chairman, Breitbart News LLC","Person,Business Person,Media Personality"
2016,2499,Tim Cook,Apple CEO,"Person,Business Person"
2016,96583,Ted Cruz,Republican U.S. Senator from Texas,"Person,Political Candidate,Elected Representative,Public Official"
2016,241987,Leo DiCaprio,Actor,"Person,Media Personality"
2016,257556,Simone Arianne Biles,US Olympic gymnast,"Person,Media Personality"
2016,229969,Colin Kaepernick,NFL quarterback,"Person,Media Personality"
2016,157878,Gretchen Carlson,Formerly of Fox News,"Person,Media Personality"
2015,4698,Howard D Schultz,Founded Starbuck's,"Person,Business Person"
2015,34003,Jeb Bush,Former Governor of Florida,"Person,Political Candidate,Elected Representative,Business Person"
2015,207662,Narendra Modi,Prime Minister of India,Person
2015,155194,Stephen Colbert,"Political satirist, TV Host","Person,Media Personality"
2015,13568,Bernie Sanders,"US Senator and former representative from Vermont, 2020 Democratic presidential primary candidate","Person,Elected Representative,Political Candidate"
2015,166937,Angela Merkel,Chancellor of Germany,"Person,Political Candidate"
2015,257555,Adele Laurie Blue Adkins,Singer known as Adele,"Person,Media Personality"
2014,39339,Janet L Yellen,Federal Reserve Chair,"Person,Academic,Public Official"
2014,110381,Seth Meyers,Televesion talk show host,"Person,Media Personality"
2014,207655,Jon Hamm,"Actor, Star of ""Mad Men""","Person,Media Personality"
2014,159484,Beyonce,Singer,"Person,Media Personality"
2014,207656,Laverne Cox,"Actress, stars in ""Orange is the New Black""","Person,Media Personality"
2014,207657,Robert Bowdrie Bergdahl,Former prisoner of war in Afghanistan,Person
2014,207658,Chad Stover,High school football player who died of game related brain injuries,Person
2014,59561,Mary T Barra,"CEO, General Motors","Person,Business Person"
2014,207659,Matthew McConaughey,Actor,"Person,Media Personality"
2014,109182,Anne Hathaway,Actress,Person
2014,207660,Jessica Chastain,Actress,"Person,Media Personality"
2014,13450,Mitch McConnell,US Senator from Kentucky,"Person,Elected Representative,Political Candidate"
2014,207661,Benedict Cumberbatch,Actor,"Person,Media Personality"
2014,159557,Taylor Swift,Singer,Person
2014,72743,Scott Kelly,Astronaut; brother of fellow astronaut Mark Kelly,Person
2013,149033,Pope Francis,Head of the Catholic church,Person
2013,6634,Carl C Icahn,Billionaire business magnate and investor; longtime Trump friend,"Person,Business Person"
2013,35618,John F Kennedy,35th President of the United States,"Person,Elected Representative,Political Candidate"
2013,44874,Chris Christie,Governor of New Jersey,"Person,Elected Representative,Lawyer,Political Candidate"
2013,90398,Prince Charles,Heir to the British throne,"Person,Public Official"
2013,14932,Michael Bloomberg,NYC's info-billionaire former mayor; Publisher of Bloomberg LP,"Person,Business Person"
2013,109708,Johnny Manziel,2012 Heisman Trophy winner,Person
2013,13503,Barack Obama,44th President of the United States,"Person,Elected Representative,Political Candidate"
2013,149035,Martin Luther King Jr,Civil Rights Leader,Person
2013,112400,Bradley Manning,Charged with leaking classified material to WikiLeaks,Person
2013,149036,Edward Snowden,American computer specialist disclosed thousands of classified documents,"Person,Business Person"
2013,111499,Aaron H Swartz,Computer activist,"Person,Business Person"
2013,13267,Rahm Emanuel,Mayor of Chicago: Former White House Chief of Staff,"Person,Elected Representative,Political Candidate,Public Official"
2013,67108,Angelina Jolie,actor,Person
2013,91612,Rand Paul,US Senator from Kentucky,"Person,Elected Representative,Political Candidate"
2013,67099,Jay-Z,,Person
2013,149037,Aamir Khan,Indian film star,"Person,Media Personality"
2013,38805,Elon Musk,Chief Executive Officer of Tesla Motors,"Person,Business Person"
2013,149038,Li Na,Chinese professional tennis player,"Person,Media Personality"
2013,149039,Malala Yousafzai,Pakistani education activist,"Person,Media Personality"
2013,149040,Jennifer Lawrence,Actress,"Person,Media Personality"
2013,149041,Oscar Pistorius,South African athlete,"Person,Media Personality"
2013,112628,Joseph Aloisius Ratzinger,Pope Benedict XVI,"Person,Public Official"
2013,91622,Marco Rubio,US Senator from Florida; 2016 GOP Presidential candidate,"Person,Elected Representative,Political Candidate"
2013,149044,Kathryn Bigelow,Film director,"Person,Media Personality"
2013,13300,Gabby Giffords,US Representative from Arizona,"Person,Elected Representative,Political Candidate"
2013,13047,Joe Biden,US Senator and Vice President,"Person,Elected Representative,Political Candidate"
2012,95964,Roger Goodell,Commissioner -- National Football League,Person
2012,28650,David Howell Petraeus,Former CIA director and former ISAF commander,"Person,Public Official"
2012,149045,Daniel Day-Lewis,Actor,"Person,Media Personality"
2012,149046,Xi Jinping,General Secretary of the Communist Party of China,"Person,Public Official"
2012,34136,Mitt Romney,Former Governor of Massachusetts,"Person,Political Candidate,Elected Representative,Business Person,Public Official,Lawyer"
2012,28668,Bill Clinton,42nd US president,"Person,Elected Representative,Political Candidate"
2012,33847,John G Roberts,Current Chief Justice of the United States,"Person,Public Official,Lawyer"
2012,33852,Anthony M Kennedy,Associate Justice of the Supreme Court of the United States,"Person,Public Official,Lawyer"
2012,94426,Lenore Romney,mother of Mitt Romney,Person
2012,37138,Benjamin Netanyahu,Prime Minister of Israel and is Chairman of the conservative Likud Party,"Person,Public Official,Business Person"
2012,28776,George W Bush,"43rd US president, ex-governor of Texas, son of George H W Bush","Person,Political Candidate,Business Person,Public Official"
2012,83783,Preet Bharara,US Attorney for Southern District of New York,"Person,Public Official,Lawyer"
2012,14923,Warren Buffett,"CEO at Berkshire Hathaway, Investor","Person,Business Person"
2011,13191,Hillary Clinton,US Secretary of State & NY Senator; 2016 Democratic Presidential candidate,"Person,Elected Representative,Political Candidate,Business Person,Public Official,Lawyer"
2011,2107,Steven P Jobs,"co-founder, Apple","Person,Business Person"
2011,34415,Rick Perry,former Governor of Texas; Trump's Energy Secretary,"Person,Political Candidate,Elected Representative,Business Person"
2011,77590,Muammar Gaddafi,Libyan dictator,Person
2011,149049,George Washington,First President of the United States of America,"Person,Political Candidate,Elected Representative,Public Official"
2011,14988,Rupert Murdoch,Chairman and CEO of News Corp and 21st Century Fox,"Person,Business Person"
2011,119450,Jon M Huntsman Jr,"Trump nominee to be ambassador to Russia; Chairman, the Atlantic Council | former Governor of Utah","Person,Business Person,Political Candidate,Elected Representative"
2011,34154,Tim Pawlenty,Former Governor of Minnesota; President and CEO of Financial Services Roundtable,"Person,Political Candidate,Elected Representative"
2011,13945,Newt Gingrich,Former US Representative from Georgia,"Person,Elected Representative,Political Candidate"
2011,12980,Michele Bachmann,US Representative from Minnesota,"Person,Elected Representative,Political Candidate"
2011,13735,Rick Santorum,US Representative and Senator from Pennsylvania,"Person,Elected Representative,Political Candidate,Business Person"
2011,13513,Ron Paul,US Representative from Texas,"Person,Elected Representative,Political Candidate"
2011,33159,Sarah Palin,Former Governor of Alaska and former candidate for vice president,"Person,Political Candidate,Elected Representative"
2011,2795,Herman Cain,Businessman. Conservative Talk Show host based in Atlanta,"Person,Business Person,Political Candidate,Media Personality"
2011,73190,Mehmet Oz,Cardiac Surgeon and Talk Show Host,"Person,Media Personality"
2011,107390,Osama bin Laden,,"Person,Public Official"
2011,90399,Prince William,1st Duke of Cambridge,"Person,Public Official"
2011,110533,Catherine Elizabeth Middleton,Duchess of Cambridge,"Person,Public Official"
2011,33484,Robert Swan Mueller III,former Director of FBI under George W Bush,"Person,Public Official,Lawyer"
2011,138516,Abraham Lincoln,16th President of the United States,"Person,Political Candidate,Elected Representative,Lawyer"
2011,34620,Ronald Reagan,40th US president,"Person,Political Candidate,Elected Representative,Public Official"
2011,149050,Jared Lee Loughner,"American who shot Gabrielle Giffords, killing 6 others",Person
2011,149051,Aung San Suu Kyi,"Burmese opposition leader, won Nobel Peach Prize in 1991",Person
2010,15362,Mark Zuckerberg,Facebook founder,"Person,Business Person"
2010,149052,Julian Assange,"Australian publisher, founder of WikiLeaks","Person,Media Personality"
2010,13083,John Boehner,US Representative from Ohio,"Person,Elected Representative,Political Candidate"
2010,39175,Christine O'Donnell,Pro-family marketing and media consultant,"Person,Political Candidate"
2010,1414,Meg Whitman,"President & CEO of Hewlett Packard, Former President & CEO of eBay","Person,Business Person,Political Candidate"
