
Jimmy Carter
Rupert Murdoch
Amy Carter
Alex Haley
Andrei Sakharov
Linda Ronstadt
Idi Amin
Marabel Morgan
Jiang Qing
Lily Tomlin
James Schlesinger
Jimmy Carter
Uncle Sam
Richard Nixon
Harold Brown
Menachem Begin
Jody Powell
Peter Frampton
James Earl Ray
Adolfo Suárez
Rod Carew
Jimmy Carter
Arthur Ochs Sulzberger
Fred Silverman
Bert Lance
Diane Keaton
John le Carré
Jimmy Carter
Mstislav Rostropovich
Hanns Martin Schleyer
Richard Leakey
John Vorster
Anwar Sadat
Dixy Lee Ray
Jesus
Anwar Sadat
Burt Reynolds
Super Bowl XII
Robert Byrd
Michael Blumenthal
Stansfield Turner
Pierre Trudeau
Muhammad Ali
Cheryl Tiegs
Menachem Begin
John Travolta
Saul Steinberg
Cyrus Vance
Gelsey Kirkland
Charles, Prince of Wales
Steve Cauthen
Joseph Califano
Howard Jarvis
Warren Beaty
G. William Miller
Nathan Sharansky
Sebastiano Baggio
Mario Puzo
John Paul I
Menachem Begin
Shah of Iran
Menachem Begin
Jimmy Carter
John Paul I
John Paul II
Pat Benedict 
Letitia Baldrige
Michel Bergerac
Jimmy Carter
Teng Hsiao-ping
Philip Johnson
Leonid Brezhnev
Teng Hsiao-ping
Ruhollah Khomeini
Albert Einstein
Robin Williams
Jimmy Carter
Woody Allen
Margaret Thatcher
Russell Baker
Helmut Schmidt
John Paul II
Jimmy Carter
Jimmy Carter
Diane Lane
Ansel Adams
John Connally
Cyrus Vance
Luciano Pavarotti
Henry Kissinger
José López Portillo
John Paul II
Paul Volcker
David C. Jones
Edward Kennedy
Ruhollah Khomeini
Mohammad Reza Shah
Ruhollah Khomeini
Jimmy Carter
Eric Heiden
Dan Rather
Peter Sellers
Ronald Reagan
Jimmy Carter
Thornton Wilson
Jimmy Carter
Jimmy Carter
Edmund Muskie
Darth Vader
Pablo Picasso
Björn Borg
Ronald Reagan
Billy Carter
Larry Hagman
Jimmy Carter
Jimmy Carter
Thomas Murphy 
Bear Bryant
Jimmy Carter
Carl Sagan
Jimmy Carter
Ronald Reagan
Jane Pauley
John Lennon
Lech Walesa
Ronald Reagan
Space Shuttle Columbia
Brooke Shields
Margaret Thatcher
Herbert Boyer
Alexander Haig
Ronald Reagan
Diana, Princess of Wales
Billy Martin
Menachem Begin
Pope John Paul II 
Ed Koch
François Mitterrand
Cocaine
Vietnam veteran
Sandra Day O'Connor
Caspar Weinberger
Charles, Prince of Wales
James Rouse
John Irving
Meryl Streep
Jesse Helms
Ronald Reagan
Nicholas Nickelby
Anwar Sadat
Ronald Reagan
Katharine Hepburn
Muammar Gaddafi
Wojciech Jaruzelski
Lech Walesa
Joe Montana
Franklin D. Roosevelt
Steve Jobs
Jaclyn Smith
Henry Kissinger
Paul Volcker
Giorgio Armani
Howard Baker
John Paul II
Gerry Cooney
George Shultz
Ayatullah Khomeini
Ted Turner
James G. Watt
Menachem Begin
