Unnamed: 0,name,year,decade
0,The Band,1970,1970s
1,Najeeb Halaby,1970,1970s
2,Biafra,1970,1970s
3,Barry Commoner,1970,1970s
4,Jane Fonda,1970,1970s
5,Anita Caspary,1970,1970s
6,Jesse Jackson,1970,1970s
7,Günter Grass,1970,1970s
8,Richard Nixon,1970,1970s
9,Jim Lovell,1970,1970s
10,Leonid Brezhnev,1970,1970s
11,William H. Masters,1970,1970s
12,Arthur Burns,1970,1970s
13,Richard Nixon,1970,1970s
14,Mike Nichols,1970,1970s
15,Edward Heath,1970,1970s
16,Jerry Vernon Wilson,1970,1970s
17,Henry Ford II,1970,1970s
18,Alaska,1970,1970s
19,William P. Rogers,1970,1970s
20,Howard Stein,1970,1970s
21,Kate Millett,1970,1970s
22,Elliott Gould,1970,1970s
23,John Fairchild,1970,1970s
24,Richard Nixon,1970,1970s
25,Gamal Abdel Nasser,1970,1970s
26,Salvador Allende,1970,1970s
27,Adlai Stevenson III,1970,1970s
28,Martha Beall Mitchell,1970,1970s
29,Elmo Zumwalt,1970,1970s
30,Willy Brandt,1971,1970s
31,Ali MacGraw,1971,1970s
32,Philip Berrigan,1971,1970s
33,Carl Albert,1971,1970s
34,Creighton Abrams,1971,1970s
35,James Taylor,1971,1970s
36,Joe Frazier,1971,1970s
37,George C. Scott,1971,1970s
38,Konstantin Katushev,1971,1970s
39,William Calley,1971,1970s
40,Alexis Smith,1971,1970s
41,Akio Morita,1971,1970s
42,Anwar Sadat,1971,1970s
43,Jimmy Carter,1971,1970s
44,Dick Cavett,1971,1970s
45,Edward F. Cox,1971,1970s
46,Daniel Ellsberg,1971,1970s
47,Joseph Colombo,1971,1970s
48,Lee Trevino,1971,1970s
49,Henry Kissinger,1971,1970s
50,David Scott,1971,1970s
51,George Shultz,1971,1970s
52,Vida Blue,1971,1970s
53,Richard Nixon,1971,1970s
54,George Meany,1971,1970s
55,Edmund Muskie,1971,1970s
56,B. F. Skinner,1971,1970s
57,Attica Prison riot,1971,1970s
58,Emperor Hirohito,1971,1970s
59,John Connally,1971,1970s
60,William Rehnquist,1971,1970s
61,Chou En-lai,1971,1970s
62,Beverly Sills,1971,1970s
63,Edward Kennedy,1971,1970s
64,Indira Gandhi,1971,1970s
65,Richard Nixon,1972,1970s
66,Roger Staubach,1972,1970s
67,Howard Hughes,1972,1970s
68,Flip Wilson,1972,1970s
69,Henry Kissinger,1972,1970s
70,Robert Coles,1972,1970s
71,Clifford Irving,1972,1970s
72,Liza Minnelli,1972,1970s
73,Richard Nixon,1972,1970s
74,George Wallace,1972,1970s
75,Jack Anderson,1972,1970s
76,Richard Nixon,1972,1970s
77,George McGovern,1972,1970s
78,Võ Nguyên Giáp,1972,1970s
79,Leonid Brezhnev,1972,1970s
80,Kemmons Wilson,1972,1970s
81,Edwin Land,1972,1970s
82,Woody Allen,1972,1970s
83,Johnny Bench,1972,1970s
84,Kenneth Elstein,1972,1970s
85,George McGovern,1972,1970s
86,Boris Spassky,1972,1970s
87,Thomas Eagleton,1972,1970s
88,Sargent Shriver,1972,1970s
89,Richard Nixon,1972,1970s
90,Mark Spitz,1972,1970s
91,Redd Foxx,1972,1970s
92,Richard Nixon,1972,1970s
93,Pat Nixon,1972,1970s
94,Joe Namath,1972,1970s
95,Henry Kissinger,1972,1970s
96,Richard Bach,1972,1970s
97,Richard Nixon,1972,1970s
98,Ernest and Julio Gallo,1972,1970s
99,Liv Ullmann,1972,1970s
100,Don Shula,1972,1970s
101,Henry Kissinger,1973,1970s
102,Marlon Brando,1973,1970s
103,Ian Anderson,1973,1970s
104,George Shultz,1973,1970s
105,Carlos Castaneda,1973,1970s
106,Robert A. Good,1973,1970s
107,L. Patrick Gray,1973,1970s
108,Muammar Gaddafi,1973,1970s
109,Sam Ervin,1973,1970s
110,Pedro Arrupe,1973,1970s
111,Georg Solti,1973,1970s
112,Richard Nixon,1973,1970s
113,John N. Mitchell,1973,1970s
114,Richard Nixon,1973,1970s
115,Leonid Brezhnev,1973,1970s
116,John Dean,1973,1970s
117,John Dean,1973,1970s
118,Marilyn Monroe,1973,1970s
119,John N. Mitchell,1973,1970s
120,Richard Nixon,1973,1970s
121,Wendell Anderson,1973,1970s
122,Spiro Agnew,1973,1970s
123,Henry Kissinger,1973,1970s
124,Bobby Riggs,1973,1970s
125,Salvador Allende,1973,1970s
126,Spiro Agnew,1973,1970s
127,Spiro Agnew,1973,1970s
128,Gerald Ford,1973,1970s
129,Archibald Cox,1973,1970s
130,Richard Nixon,1973,1970s
131,Peter Falk,1973,1970s
132,Rose Mary Woods,1973,1970s
133,Gerald Ford,1973,1970s
134,John Sirica,1974,1970s
135,William E. Simon,1974,1970s
136,Nixon White House tapes,1974,1970s
137,Tip O'Neill,1974,1970s
138,James Schlesinger,1974,1970s
139,Exxon,1974,1970s
140,Aleksandr Solzhenitsyn,1974,1970s
141,Leon Jaworski,1974,1970s
142,Robert Redford,1974,1970s
143,James D. St. Clair,1974,1970s
144,Henry Kissinger,1974,1970s
145,Richard Nixon,1974,1970s
146,Patty Hearst,1974,1970s
147,Merle Haggard,1974,1970s
148,Richard Nixon,1974,1970s
149,Reggie Jackson,1974,1970s
150,Henry Kissinger,1974,1970s
151,Anwar Sadat,1974,1970s
152,Leonid Brezhnev,1974,1970s
153,Supreme Court,1974,1970s
154,Peter W. Rodino,1974,1970s
155,Jack Nicholson,1974,1970s
156,Gerald Ford,1974,1970s
157,Nelson Rockefeller,1974,1970s
158,Gerald Ford,1974,1970s
159,William Colby,1974,1970s
160,Betty Ford,1974,1970s
161,Jerry Brown,1974,1970s
